Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
GA ADVENTURES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności prowadzonej, w sektorze turystycznym, przez GA ADVENTURES sp. z o.o. (wcześniej EXTREME POLAND z o.o. sp. k.) poprzez inwestycje związane z zakupem środków trwałych, wykorzystaniem technologii cyfrowych, szkoleniowych i rozwojowych w związku z koniecznością dokonania zmian procesów, sposobu funkcjonowania przedsiębiorstwa i wzmocnienia odporności na wypadek kolejnych kryzysów. Przedsięwzięcie będzie realizowane w Regionie 3 w miejscowości Przeworsk.",PODKARPACKIE,Przeworsk,Marszałka Józefa Piłsudskiego,1,37-200,419895.95
MD WAKACJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Spółki MD Wakacje w województwie lubelskim, poprzez rozpoczęcie świadczenia usług gastronomicznych celem zwiększenia konkurencyjności i odporności w branży HoReCa.",LUBELSKIE,Lublin,Aleja Spółdzielczości Pracy,88,20-147,527290.74
"Maciej Mazurkiewicz Firma Handlowo Usługowa ""UROCZYSKO""","Wzmocnienie odporności i konkurencyjności przedsiębiorstwa Maciej Mazurkiewicz Firma Handlowo Usługowa ""UROCZYSKO"" w woj. podkarpackim poprzez dywersyfikację w kierunku wprowadzenia nowej linii usług cateringowych",PODKARPACKIE,Sanok,Kwiatowa,5,38-500,393932.04
"Usługi noclegowe Sylwia Rutkowska - Sobczak ""Rezydencja Las Vegas""","Zwiększanie odporności firmy Usługi noclegowe Sylwia Rutkowska – Sobczak „Rezydencja Las Vegas” w Barcicach na sytuacje kryzysowe poprzez wdrożenie usług dodatkowych i uatrakcyjnienie oferty pobytowej dla pozyskania nowej, szerszej grupy klientów. Region nr 3.",MAŁOPOLSKIE,Barcice,,550,33-342,255146.17
Lemon Media Marcin Kwaśny,Dywersyfikacja działalności Lemon Media Marcin Kwaśny i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w zakresie wypożyczania i dzierżawy sprzętu rekreacyjnego i sportowego. Region 3- województwo Małopolskie.,MAŁOPOLSKIE,Kraków,os. Osiedle Złotego Wieku,31,31-352,326102.53
IZABELA KOZŁOWSKA-DECHNIK MANDRAGORA,Wzrost konkurencyjności przedsiębiorstwa IZABELA KOZŁOWSKA-DECHNIK MANDRAGORA poprzez dywersyfikację działalności i rozszerzenie zakresu usług w sektorze HoReCa,LUBELSKIE,Lublin,Rynek,10,20-112,305484.29
"Usługi Gastronomiczne "" DIANA"" Mirosława Ładniak","Wzmocnienie Firmy Usługi Gastronomiczne ""DIANA"" Mirosława Ładniak poprzez dywersyfikację i wprowadzenie nowych produktów i usług. Projekt realizowany w województwie lubelskim w powiecie bialskim.",LUBELSKIE,Porosiuki,,73C,21-500,387166.69
Wincenty Czeczot Przedsiębiorstwo Wielobranżowe VIMA,"Rozszerzenie zakresu prowadzonej działalności o usługi związane z organizacją targów, szkoleń i konferencji w regionie 3 w województwie lubelskim",LUBELSKIE,Łapiguz,,2A,22-400,524671.2
"FHU ""KRIS"" KRZYSZTOF BŁACHUT","Dywersyfikacja i rozszerzenie działalności FHU ""KRIS"" KRZYSZTOF BŁACHUT wraz z zieloną i cyfrową transformacją działającej na terenie województwa małopolskiego",MAŁOPOLSKIE,Frydman,Kasztelańska,12,34-435,470913.87
RESTFULLWORK Michał Rzewuski,Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa RESTFULLWORK Michał Rzewuski poprzez inwestycje mające na celu wdrożenie nowych usług świadczonych w województwie małopolskim.,MAŁOPOLSKIE,Kraków,Tyniecka,106,30-376,310275.63
MAREK ZAJDEL MARCO-TRADE,"Wzmocnienie odporności przedsiębiorstwa Marco-Trade Marek Zajdel poprzez dywersyfikację działalności, wprowadzenie nowych produktów i usług. Projekt realizowany w województwie podkarpackim.",PODKARPACKIE,Dukla,Rynek,18,38-450,539955
AUTONOME SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Mobilne miasteczka techniki jazdy (Region 3 - województwo małopolskie),MAŁOPOLSKIE,Kraków,Tadeusza Motarskiego,4,30-608,496998.9
FOLWARK ZALESIE WŁADYSŁAW ŁAZARSKI," ALEKSANDER MICHALSKI, NELLY MICHALSKA I WSPÓLNICY SPÓŁKA JAWNA,Wprowadzenie na rynek nowej usługi oraz zwiększenie odporności na sytuacje kryzysowe przedsiębiorstwa Folwark Zalesie Sp. J. poprzez budowę oczyszczalni ścieków, zakup sprzętu i usługi szkoleniowej w regionie 3 (Małopolska)",MAŁOPOLSKIE,Grajów,,150,32-020,519461.1
RELAX Edward Drabek," Krystyna Drabek, Tomasz Drabek spółka cywilna,Rozszerzenie działalności Hotelu Relax w Kętach w Małopolsce o działalność cateringową",MAŁOPOLSKIE,Kęty,Młodzieży Polskiej,1,32-650,371074.2
MALBO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Pierogarnia odporna na globalne kryzysy - modernizacja infrastruktury i rozszerzenie oferty Przystanku Pierogarnia w Województwie Małopolskim poprzez wprowadzenie nowego produktu i nowej usługi,MAŁOPOLSKIE,Kraków,rynek Rynek Dębnicki,3,30-319,476996
SYLWIA MIDRO SJ GROUP,Wzmocnienie odporności przedsiębiorstwa SYLWIA MIDRO SJ GROUP poprzez dywersyfikację oraz wprowadzenie nowych produktów i usług. Projektrealizowany w regionie małopolskim w powiecie Kraków.,MAŁOPOLSKIE,Kraków,Zwierzyniecka,4,31-102,111026.88
Pizzeria La Siciliana & caffe Dorota Godzisz,"Innowacyjny i ekologiczny projekt rozwoju lokalnej gastronomi w woj podkarpackiem poprzez zakup pawilonu gastronomicznego jako nowoczesnej konstrukcji o wysokim standardzie energetycznym,umożliwiajacego produkcję potraw i natychmiastową dystrybucję z wykorzystaniem nowoczesnych technologi i zrównoważonych rozwiązań takich jak fotowoltaika i cyfryzacja procesów ,tworzenie nowoczesnej wirtualnej restauracji dostosowanej do potrzeb współczesnych konsumentów ceniących jakość i innowację w dostawie.",PODKARPACKIE,Dębica,Budzisz,35 H,39-200,218610
CASTOR MAŁGORZATA JAKUBOWSKA PIOTR BĄK SPÓŁKA JAWNA,Inwestycje i rozszerzenie działalności firmy Castor,ŚWIĘTOKRZYSKIE,Kielce,Krakowska,62,25-701,464247
"Andrzej Łukaszczyk Wynajem Pokoi ""TATRY""","Dywersyfikacją usług firmy Andrzej Łukaszczyk Wynajem Pokoi ""TATRY"" w Murzasichlu, województwo małopolskie, poprzez wprowadzenie obsługi rodzinnych i firmowych imprez okolicznościowych dzięki zakupowi urządzeń do przetwarzania i przechowywania żywności i umeblowania sali bankietowej, a także zakupowi naziemnej instalacji fotowoltaicznej z magazynem energii.",MAŁOPOLSKIE,Murzasichle,Sądelska,23A,34-531,312907
LASTRADA CATERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Realizowane na terenie województwa małopolskiego poszerzenie parku maszynowego oraz wdrożenie ekologicznych i cyfrowych rozwiązań pozwalających na działanie firmy podczas kryzysów.,MAŁOPOLSKIE,Kraków,Piastowska,47,30-067,306884.06
"Klub ""Karino"" Krzysztof Misielak","Utworzenie usługi cateringowej poprzez budowę zaplecza gastronomicznegocelem dywersyfikacji działalności gospodarczej Klubu ""Karino"" Krzysztof Misielakprowadzonej na terenie województwa podkarpackiego.",PODKARPACKIE,Stobierna,,31,39-200,219600
SYLWIA LATKOWSKA,"Mobilne zajęcia sportowe i rekreacyjne źródłem dywersyfikacji działalności SL FIT w województwie świętokrzyskim, Region 3",ŚWIĘTOKRZYSKIE,Sandomierz,Mokoszyńska,14,27-600,271444
ZAJAZD POD SKAŁĄ MARTA STACHACZYŃSKA - RĄCZKA,Podniesienie konkurencyjności firmy ZAJAZD POD SKAŁĄ MARTA STACHACZYSŃSKA - RĄCZKA na terenie województwa podkarpackiego poprzez wprowadzenie nowej usługi oraz zwiększenie odporności prowadzonej działalności gospodarczej na przyszłe sytuacje kryzysowe.,PODKARPACKIE,Krajowice,,68,38-211,501359.4
LEGENDARY TOURS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności przedsiębiorstwa LEGENDARY TOURS SP. Z O.O. na sytuacje kryzysowe w wyniku rozszerzenia działalności gospodarczej (region 3 - województwo małopolskie),MAŁOPOLSKIE,Kraków,Rolna,7,30-318,504000
"RAFAŁ OLAK P.P.H.U.G. ""SPECTRUM""","Uodpornienie przedsiębiorstwa RAFAŁ OLAK P.P.H.U.G. ""SPECTRUM"" na przyszłe kryzysy poprzez dywersyfikację oferty. Woj. Świętokrzyskie, region nr 3.",ŚWIĘTOKRZYSKIE,Końskie,Partyzantów,12,26-200,476745.29
BIZNES TRAVEL Rafał Barański,Dywersyfikacja działalności firmy BIZNES TRAVEL poprzez wprowadzenie nowej usługi w branży turystycznej w regionie Lubelskim (region 3),LUBELSKIE,Lublin,Zuchów,2,20-047,256671
ST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy ST Sp. z o.o. poprzez wprowadzenie nowej usługi w branży turystycznej w regionie Lubelskim (region 3),LUBELSKIE,Lublin,Zuchów,2,20-047,404717
Restauracja Konfitura Ireneusz Stachaczyński,Podniesienie konkurencyjności restauracji „Konfitura” działającej na terenie woj. podkarpackiego i zwiększenie odporności prowadzonej działalności gospodarczej na przyszłe kryzysy.,PODKARPACKIE,Rzeszów,Juliusza Słowackiego,8,35-060,133455.6
EVENTY KRYSPINÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja oferty handlowej spółki EVENTY KRYSPINÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ o nowe usługi w woj. Małopolskim, region 3.",MAŁOPOLSKIE,Cholerzyn,,361,32-060,535595.33
Słodki Fach Justyna Moder,"Wzmocnienie odporności przedsiębiorstwa poprzez dywersyfikację działalności, wprowadzenie nowych produktów i usług. Projekt realizowany w regionie małopolskim.",Małopolskie,Męczenino,,7,09-451,236536.49
KARCZMA ŚWIĘTOKRZYSKA ANETA ZIELIŃSKA,"EWA SKŁAD,Dywersyfikacja firmy Karczma Świętokrzyska Aneta Zielińska, Ewa Szymańska zlokalizowanej w Staszowie w województwie świętokrzyskim poprzez wdrożenie nowej usługi cateringu obsługi wydarzeń zewnętrznych oraz dostawy do klienta indywidualnego.",ŚWIĘTOKRZYSKIE,Staszów,11 Listopada,205,28-200,159168.11
FIRMA HANDLOWO - USŁUGOWA NIEMCZYK ROBERT,CisnaEcoBike: Energetyczne Przemierzanie Gór na Rowerze Elektrycznym,PODKARPACKIE,Cisna,,5,38-607,407260.44
Małgorzata Kurkowska,Małgorzata Kurkowska,MAŁOPOLSKIE,Kwaśniów Górny,Polna,33,32-310,469495.89
Trzy Dęby Spółka z o. o.,"Inwestycje w przedsiębiorstwie Trzy Dęby Sp. z o.o. w produkty, usługi i kompetencje pracowników oraz kadry związane z rozszerzeniem działalności",LUBELSKIE,Janów,Lubelska,1,22-151,407455.3
Ryś Catering Mateusz Mercik,Nowa oferta Ryś Catering jako sposób na zwiększenie odporności przedsiębiorstwa w Małopolsce.,MAŁOPOLSKIE,Kraków,Dąbska,20a,31-572,51156
"Alicja Budzowska Sala Bankietowa ""HELADA""","Wprowadzenie do oferty firmy Alicja Budzowska Sala Bankietowa ""HELADA"" nowych usług związanych z organizacją, promocją i zarządzaniem wydarzeniami w formie stacjonarnej, online oraz hybrydowej w powiecie oświęcimskim, województwo małopolskie.",MAŁOPOLSKIE,Oświęcim,Ceglana,3,32-600,108747.16
ERINWEST DAMIAN ROGALSKI,"Rozszerzenie oferty firmy Erinvest Damian Rogalski poprzez inwestycję w zewnętrzną strefę relaksu z wprowadzeniem nowoczesnych rozwiązań cyfrowych oraz zielonej transformacji w miejscowości Baryczka, powiat strzyżowski, województwo podkarpackie",PODKARPACKIE,Straszydle,,343A,36-043,425773.5
HOTELS GLOBAL INVESTMENT GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wzmocnienie konkurencyjności działalności hotelarskiej w województwie małopolskim, dywersyfikacja oraz wdrożenie nowej usługi organizacji konferencji i eventów w trybie online i hybrydowym w Hotelu Hilton Garden Inn Kraków.",MAŁOPOLSKIE,Kraków,Marii Konopnickiej,33,30-302,537973.94
FIRMA USŁUGOWO HANDLOWA ANNAPISKORSKA,"Dywersyfikacja działalności przedsiębiorstwa poprzez wprowadzenie nowej usługi noclegowej - województwo małopolskie, Region 3.",MAŁOPOLSKIE,Myślenice,Niepodległości,18,32-400,416893.82
ULER Erwin Czernecki,"Wzrost konkurencyjności firmy ULER i uodpornienie na przyszłe kryzysy poprzez dywersyfikację działalności przedsiębiorstwa - wprowadzenie do oferty usług: zewnętrznej strefy zabaw dla dzieci, ogrodowego spa, wypożyczalni rowerów elektrycznych i usługi cateringu.",MAŁOPOLSKIE,Nowy Sącz,Nadbrzeżna,40,33-300,425005.2
Karol Czaja Green Dreams,Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Green Dreams z Krakowa poprzez uruchomienie nowej usługi Green Trips - Rodzinne Biwaki w Eko-Przyczepach Zasilanych Energią Słońca.,MAŁOPOLSKIE,Kraków,Bożego Ciała,11,31-059,287669.68
"Furczoń Maria - F.H.U. ""Tatrzański Gościniec""",Rozszerzenie działalności przedsiębiorstwa Tatrzański Gościniec - Region 3 Małopolska poprzez uruchomienie nowej usługi.,MAŁOPOLSKIE,Leśnica,Sądel,17A,34-406,479529.6
1. CENTRUM WYPOCZYNKU I REHABILITACJI AGNIESZKA TOMASZEWSKA-OSTROWSKA 2. LOTA GROUP AGNIESZKA TOMASZEWSKA-OSTROWSKA,1. CENTRUM WYPOCZYNKU I REHABILITACJI AGNIESZKA TOMASZEWSKA-OSTROWSKA 2. LOTA GROUP AGNIESZKA TOMASZEWSKA-OSTROWSKA,MAŁOPOLSKIE,Krynica-Zdrój,Kazimierza Pułaskiego,71/1,33-380,413813.23
"MAŁA GASTRONOMIA ""GAZDÓWKA U ZAJĄCA"" W.KOWALCZYK"," D.BARAN, M.LUBERDA SPÓŁKA CYWILNA,Dywersyfikacja firmy MAŁA GASTRONOMIA ""GAZDÓWKA U ZAJĄCA"" W.KOWALCZYK, D.BARAN, M.LUBERDA SPÓŁKA CYWILNA poprzez utworzenie nowej usługi wynajmu krótkoterminowego w regionie nr. 3 w województwie małopolskim.",MAŁOPOLSKIE,Ciche,,430,34-407,540000
GM Milenium Grzegorz Gębarowski,Dywersyfikacja i rozszerzenie działalności GM MILENIUM działającego na terenie województwa małopolskiego poprzez zakup dodatkowego sprzętu zimowego oraz rowerów co uodporni działalność na kryzys.,MAŁOPOLSKIE,Kolbuszowa,Jana Pawła II,21,36-100,226471.45
"Teresa Drab ""Dom Weselny u Jakuba""","Dywersyfikacja działalności ""Dom Weselny u Jakuba"" poprzez wdrożenie nowej grupy usług dotyczących kompleksowego wykorzystania sprzętu rekreacyjnego w celu poprawy kondycji fizycznej (województwo lubelskie)",LUBELSKIE,Sosnów,,1A,24-100,374634
PHU MARINA Marlena Zatorska,Dywersyfikacja działalności PHU Marina Marlena Zatorska poprzez inwestycje w infrastrukturę turystyczną oraz uruchomienie nowych usług zakwaterowania w regionie 3.,LUBELSKIE,Tomaszów Lubelski,Kościelna,4,22-600,419918.73
Spartakus System Spółka z ograniczoną odpowiedzialnością,Rozszerzenie i dywersyfikacja działalności spółki w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjność przedsiębiorstwa w woj. małopolskim.,MAŁOPOLSKIE,Nowy Sącz,Marii Konopnickiej,16,33-300,472067.82
"Dom Weselny ""Rusałka"" Piotr Bogucki","Dywersyfikacja prowadzonej działalności Dom Weselny ""Rusałka"" Piotr Bogucki poprzez wprowadzenie nowych usług turystycznych",LUBELSKIE,Horodło,Józefa Piłsudskiego,85,22-523,309887.59
WHY NOT FLY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności na sytuacje kryzysowe Wny not fly Sp. z o.o. w wyniku rozwoju oferty usługowej (region 3 - podkarpackie),PODKARPACKIE,Kielnarowa,,108A,36-020,540000
FAIR SERVICE Maciej Heród,"Dywersyfikacja działalności firmy o usługę organizacji wystaw artystycznych, konferencji i kongresów (region nr 3, województwo małopolskie)",MAŁOPOLSKIE,Kraków,Ogłęczyzna,20,31-589,150330.6
EXPO GRAF PRACOWNIA REKLAMY KATARZYNA DZIAREK,Zwiększenie odporności i rozszerzenie działalności firmy EXPO GRAF poprzez dywersyfikację usług świadczonych w województwie świętokrzyskim,ŚWIĘTOKRZYSKIE,Zagnańsk,Kielecka,3,26-050,343294.16
KGTA Krzysztof Gołąb,Zwiększenie odporności i konkurencyjności firmy KGTA Krzysztof Gołąb na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności: REGION 3 - województwo małopolskie.,MAŁOPOLSKIE,Limanowa,Wójtowicza,3,34-600,192741.74
Siorek Barbara PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE MALAGA,Rozszerzenie działalności przedsiębiorstwa MALAGA o świadczenie usług z zakresu cateringu cukierniczego.,PODKARPACKIE,Ropczyce,Rynek,4,39-100,499763.85
 LIKS JAN KAWA,"Dywersyfikacja i poszerzenie działalności restauracji serwującej tradycyjne lody rzemieślnicze w lokalu gastronomicznym poprzez inwestycje we wdrożenie nowego typoszeregu produktów, tj. lodów bezcukrowych oraz przygotowanie obiektu do najmu krótkoterminowego. Projekt realizowany w województwie małopolskim (region 3).",MAŁOPOLSKIE,Wojnicz,Reymonta,16,32-830,535488.1
Piotr Wężyk- Przedsiębiorstwo Handlowo- Usługowe,Uruchomienie działalności kateringowej w hotelu SPA Rusałka - Region 3,LUBELSKIE,Okuninka,,VIII,22-200,307866.33
PRIMORIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Inwestycje w związku z dywersyfikacją działalności PRIMORIS Sp. z o.o., w celu zwiększenia odporności przedsiębiorstwa, dzięki dofinansowaniu z Krajowego Planu Odbudowy i Zwiększania Odporności woj. podkarpackiego.",PODKARPACKIE,Rzeszów,Tadeusza Kościuszki,7,35-030,283181.6
PIOTR ZIEMBLA FIRMA HANDLOWA,Dywersyfikacja prowadzonej działalności gospodarczej poprzez wprowadzenie nowych posiłków w firmie handlowej Piotr Ziembla,MAŁOPOLSKIE,Kraków,Przy Cegielni,24D,30-736,122128.76
"WITOLD KORSAK PUB KAWIARNIA ""ULICA KROKODYLI"""," WARSZTAT CAFE RESTAURANT, WARSZTAT PO POLSKU,Rozszerzenie profilu prowadzonej działalności przez dodanie do portfolia usług działalności w postaci lodziarni w oparciu o kody PKD 56.10A w Województwie Małopolskim w Regionie 3.",MAŁOPOLSKIE,Kraków,Szeroka,30,32-053,481419
"F.H.U. "" OMEGA "" Marzena Zych","Dywersyfikacja firmy F.H.U. ""OMEGA"" Marzena Zych poprzez nowe usługi i produkty - województwo Świętokrzyskie",ŚWIĘTOKRZYSKIE,Tarnobrzeg,Władysława Sikorskiego,9,39-400,539556.6
Eventovo Barbara Katra-Śmiertka,"Rozszerzenie działalności Eventovo Barbara Katra-Śmiertka i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w tym m.in kateringu przemysłowego i organizacji targów, wystaw, spotkań i kongresów w woj. małopolskim - region 3",MAŁOPOLSKIE,Ciężkowice,ks. Jacka Michalika,12,33-190,107008.72
ANDRZEJ SKUPIEŃ Wynajem Pokoi," Wyżywienie ""OLIWIA"",Inwestycja polegająca na uruchomieniu zewnętrznego SPA, pralni dla gości noclegowych, usługi kateringowej oraz wynajmu rowerów elektrycznych w Regionie 3 obejmującym województwa lubelskie, małopolskie, podkarpackie oraz świętokrzyskie.",MAŁOPOLSKIE,Małe Ciche,,46,34-531,537570.59
BELLO MATRIMONIO KWIATY I STYLIZACJA PRZYJĘĆ Aneta Kowalczyk,Dywersyfikacja działalności firmy BELLO MATRIMONIO KWIATY I STYLIZACJA PRZYJĘĆ Aneta Kowalczyk poprzez wprowadzenie usług cateringowych dla mieszkańców Województwa Małopolskiego (REGION 3).,MAŁOPOLSKIE,Izdebnik,Lwowska,78,34-144,397191.6
"Transport osobowy ""MINI BUS"" Andrzej Domagała","Dywersyfikacja dotychczasowej działalności firmy Transport osobowy ""MINI BUS"" Andrzej Domagała poprzez wprowadzenie do oferty usług hotelowych skierowanych do mieszkańców: Krakowa, woj. małopolskiego oraz całej Polski (REGION 3).",MAŁOPOLSKIE,Czuszów,,9,32-112,540000
"Firma Handlowo-Usługowa ""u Góralki"" Anna Łukaszczyk",Dywersyfikacja i unowocześnienie prowadzonej działalności poprzez otwarcie mini spa wraz z mini siłownią i wypożyczalnią rowerów dla klientów pensjonatu w celach relaksacyjnych w regionie 3 w województwie małopolskim.,MAŁOPOLSKIE,Murzasichle,Sądelska,93a,34-531,341081.2
Stanisław Łukaszczyk F.H.U. Rząska,"Inwestycja polegająca na uruchomieniu strefy SPA w region 3 obejmującym województwa lubelskie, małopolskie, podkarpackie, świętokrzyskie",MAŁOPOLSKIE,Murzasichle,Sądelska,101a,34-531,540000
EKO-GEO CONSULTING MAREK-Biłyk,Zwiększenie odporności przedsiębiorstwa EKO-GEO Consulting Marek Biłyk na wypadek sytuacji kryzysowych poprzez uruchomienie nowej oferty pobytowej opartej na turystyce leśnej w Kozłowieckim Parku Krajobrazowym w województwie lubelskim - Region 3,LUBELSKIE,Lublin,Zygmunta Noskowskiego,3,20-858,406482.87
DARIUSZ KUSTRA MOON,Dywersyfikacja oferty o usługi masażu w województwie Małopolskim,MAŁOPOLSKIE,Kraków,Halicka,11,31-036,250558.38
Modryna Marta Zdrojewska,"Rozbudowa infrastruktury turystycznej i rekreacyjnej w Bieszczadach Wysokich w województwie podkarpackim (w Regionie 3) przez przedsiębiorstwo Modryna Marta Zdrojewska jako sposób na zwiększenie odporności firmy oraz rozszerzenie działalności gospodarczej o nowe usługi, dywersyfikację źródeł przychodu i podniesienie walorów turystycznych, celem przyciągnięcia nowych klientów",PODKARPACKIE,Strzebowiska,,30,38-608,540000
QUAD-CAR KAROLINA ANISIEWICZ,Dywersyfikacja działalności poprzez rozszerzenie profilu działalności przedsiębiorstwa Quad-Car Karolina Anisiewcz i wprowadzenie nowych usług: usługikrótkotrwałego zakwaterowania w całorocznych mobilnych domkach tiny house oraz wynajmu sauny mobilnej na terenie województwa lubelskiego.,LUBELSKIE,Chełm,al. Aleja Żołnierzy I Armii Wojska Polskiego,29,22-100,377324.98
1.SOPRANO KATARZYNA WINIARSKA-RZEPA 2.Wingrup s.c. Katarzyna Winiarska-Rzepa," BAUVIN,Wzmocnienie odporności na kryzysy firmy 1.SOPRANO KATARZYNA WINIARSKA-RZEPA 2.Wingrup s.c. Katarzyna Winiarska-Rzepa, BAUVIN poprzez dywersyfikację oferty, woj. małopolskie, region nr 3.",MAŁOPOLSKIE,Tarnów,Ignacego Mościckiego,6,33-100,534716.77
Fitness & Wellness AZIK Aziewicz Spółka Jawna,"Dywersyfikacja i rozszerzenie prowadzonej działalności oraz uruchomienie świadczenia nowej usługi dotyczącej organizacji grupowych kursów wszechstronnego treningu motorycznego w oparciu o specjalistyczne urządzenia typu ""reformer"" w centrum treningowym w Krakowie, woj. małopolskie (Region 3)",MAŁOPOLSKIE,Kraków,Marii i Bolesława Wysłouchów,30D,30-611,540000
